subject,session,UTC_Timestamp,ECG_mean,ECG_stdev,ECG_1std
5,DRIVING1,2013-11-1T11:38:32.000-05:00,2055.13,129.784,-0.16
5,DRIVING1,2013-11-1T11:38:33.000-05:00,2055.91,96.7987,0.784
5,DRIVING1,2013-11-1T11:38:34.000-05:00,2053.66,140.706,-2.256
5,DRIVING1,2013-11-1T11:38:35.000-05:00,2056.47,90.9956,2.816
5,DRIVING1,2013-11-1T11:38:36.000-05:00,2056.55,136.543,0.08
5,DRIVING1,2013-11-1T11:38:37.000-05:00,2053.62,99.0969,-2.928
5,DRIVING1,2013-11-1T11:38:38.000-05:00,2055.29,93.0289,1.664
5,DRIVING1,2013-11-1T11:38:39.000-05:00,2055.02,132.588,-0.272
5,DRIVING1,2013-11-1T11:38:40.000-05:00,2055.26,98.9801,0.24
5,DRIVING1,2013-11-1T11:38:41.000-05:00,2055,135.965,-0.256
5,DRIVING1,2013-11-1T11:38:42.000-05:00,2047.3,106.668,-7.696
5,DRIVING1,2013-11-1T11:38:43.000-05:00,2063.9,124.72,16.592
5,DRIVING1,2013-11-1T11:38:44.000-05:00,2054.12,97.8191,-9.776
5,DRIVING1,2013-11-1T11:38:45.000-05:00,2054.62,130.07,0.496
5,DRIVING1,2013-11-1T11:38:46.000-05:00,2056.62,97.7148,2
5,DRIVING1,2013-11-1T11:38:47.000-05:00,2058.15,136.19,1.536
5,DRIVING1,2013-11-1T11:38:48.000-05:00,2051.98,91.8246,-6.176
5,DRIVING1,2013-11-1T11:38:49.000-05:00,2054.94,93.899,2.96
5,DRIVING1,2013-11-1T11:38:50.000-05:00,2053.85,139.608,-1.088
5,DRIVING1,2013-11-1T11:38:51.000-05:00,2056.07,91.6952,2.224
5,DRIVING1,2013-11-1T11:38:52.000-05:00,2056.68,130.971,0.608
5,DRIVING1,2013-11-1T11:38:53.000-05:00,2053.32,95.9389,-3.36
5,DRIVING1,2013-11-1T11:38:54.000-05:00,2054.06,131.379,0.736
5,DRIVING1,2013-11-1T11:38:55.000-05:00,2056.63,94.3425,2.576
5,DRIVING1,2013-11-1T11:38:56.000-05:00,2054.79,136.198,-1.84
5,DRIVING1,2013-11-1T11:38:57.000-05:00,2054.76,131.808,-0.032
5,DRIVING1,2013-11-1T11:38:58.000-05:00,2055.11,88.3936,0.352
5,DRIVING1,2013-11-1T11:38:59.000-05:00,2055.9,133.805,0.784
5,DRIVING1,2013-11-1T11:39:00.000-05:00,2054.49,98.6922,-1.408
5,DRIVING1,2013-11-1T11:39:01.000-05:00,2057.85,129.145,3.36
5,DRIVING1,2013-11-1T11:39:02.000-05:00,2052.15,91.9448,-5.696
5,DRIVING1,2013-11-1T11:39:03.000-05:00,2046.78,113.486,-5.376
5,DRIVING1,2013-11-1T11:39:04.000-05:00,2063.85,125.345,17.072
5,DRIVING1,2013-11-1T11:39:05.000-05:00,2055.83,86.7693,-8.016
5,DRIVING1,2013-11-1T11:39:06.000-05:00,2055.38,133.234,-0.448
5,DRIVING1,2013-11-1T11:39:07.000-05:00,2055.77,134.533,0.384
5,DRIVING1,2013-11-1T11:39:08.000-05:00,2052.89,88.5273,-2.88
5,DRIVING1,2013-11-1T11:39:09.000-05:00,2054.15,132.264,1.264
5,DRIVING1,2013-11-1T11:39:10.000-05:00,2051.69,103.684,-2.464
